Date,Open,High,Low,Close,Adj Close,Volume
7/10/1991,376.11,380.35,375.2,375.74,375.74,178290000
7/11/1991,375.73,377.68,375.51,376.97,376.97,157930000
7/12/1991,376.97,381.41,375.79,380.25,380.25,174770000
7/15/1991,380.28,383,380.24,382.39,382.39,161750000
7/16/1991,382.39,382.94,380.8,381.54,381.54,182990000
7/17/1991,381.5,382.86,381.13,381.18,381.18,195460000
7/18/1991,381.18,385.37,381.18,385.37,385.37,200930000
7/19/1991,385.38,385.83,383.65,384.22,384.22,190700000
7/22/1991,384.21,384.55,381.84,382.88,382.88,149050000
7/23/1991,382.88,384.86,379.39,379.42,379.42,160190000
7/24/1991,379.42,380.46,378.29,378.64,378.64,158700000
7/25/1991,378.64,381.13,378.15,380.96,380.96,145800000
7/26/1991,380.96,381.76,379.81,380.93,380.93,127760000
7/29/1991,380.93,383.15,380.45,383.15,383.15,136000000
7/30/1991,383.15,386.92,383.15,386.69,386.69,169010000
7/31/1991,386.69,387.81,386.19,387.81,387.81,166830000
8/1/1991,387.81,387.95,386.48,387.12,387.12,170610000
8/2/1991,387.12,389.56,386.05,387.18,387.18,162270000
8/5/1991,387.17,387.17,384.48,385.06,385.06,128050000
8/6/1991,385.06,390.8,384.29,390.62,390.62,174460000
8/7/1991,390.62,391.59,389.86,390.56,390.56,172220000
8/8/1991,390.56,391.8,388.15,389.32,389.32,163890000
8/9/1991,389.32,389.89,387.04,387.12,387.12,143740000
8/12/1991,387.11,388.17,385.9,388.02,388.02,145440000
8/13/1991,388.02,392.12,388.02,389.62,389.62,212760000
8/14/1991,389.62,391.85,389.13,389.9,389.9,124230000
8/15/1991,389.91,391.92,389.29,389.33,389.33,174690000
8/16/1991,389.33,390.41,383.16,385.58,385.58,189480000
8/19/1991,385.58,385.58,374.09,376.47,376.47,230350000
8/20/1991,376.47,380.35,376.47,379.43,379.43,184260000
8/21/1991,379.55,390.59,379.55,390.59,390.59,232690000
8/22/1991,390.59,391.98,390.21,391.33,391.33,173090000
8/23/1991,391.33,395.34,390.69,394.17,394.17,188870000
8/26/1991,394.17,394.39,392.75,393.85,393.85,130570000
8/27/1991,393.85,393.87,391.77,393.06,393.06,144670000
8/28/1991,393.06,396.64,393.05,396.64,396.64,169890000
8/29/1991,396.65,396.82,395.14,396.47,396.47,154150000
8/30/1991,396.47,396.47,393.6,395.43,395.43,143440000
9/3/1991,395.43,397.62,392.1,392.15,392.15,153600000
9/4/1991,392.15,392.62,388.68,389.97,389.97,157520000
9/5/1991,389.97,390.97,388.49,389.14,389.14,162380000
9/6/1991,389.14,390.71,387.36,389.1,389.1,166560000
9/9/1991,389.11,389.34,387.88,388.57,388.57,115100000
9/10/1991,388.57,388.63,383.78,384.56,384.56,143390000
9/11/1991,384.56,385.6,383.59,385.09,385.09,148000000
9/12/1991,385.09,387.34,385.09,387.34,387.34,160420000
9/13/1991,387.16,387.95,382.85,383.59,383.59,169630000
9/16/1991,383.59,385.79,382.77,385.78,385.78,172560000
9/17/1991,385.78,387.13,384.97,385.5,385.5,168340000
9/18/1991,385.49,386.94,384.28,386.94,386.94,141340000
9/19/1991,386.94,389.42,386.27,387.56,387.56,211010000
9/20/1991,387.56,388.82,386.49,387.92,387.92,254520000
9/23/1991,387.9,388.55,385.76,385.92,385.92,145940000
9/24/1991,385.92,388.13,384.46,387.71,387.71,170350000
9/25/1991,387.72,388.25,385.99,386.88,386.88,153910000
9/26/1991,386.87,388.39,385.3,386.49,386.49,158980000
9/27/1991,386.49,389.09,384.87,385.9,385.9,160660000
9/30/1991,385.91,388.29,384.32,387.86,387.86,146780000
10/1/1991,387.86,389.56,387.86,389.2,389.2,163570000
10/2/1991,389.2,390.03,387.62,388.26,388.26,166380000
10/3/1991,388.23,388.23,384.47,384.47,384.47,174360000
10/4/1991,384.47,385.19,381.24,381.25,381.25,164000000
10/7/1991,381.22,381.27,379.07,379.5,379.5,148430000
10/8/1991,379.5,381.23,379.18,380.67,380.67,177120000
10/9/1991,380.57,380.57,376.35,376.8,376.8,186710000
#########,376.8,380.55,376.11,380.55,380.55,164240000
#########,380.55,381.46,379.9,381.45,381.45,148850000
#########,381.45,386.47,381.45,386.47,386.47,130120000
#########,386.47,391.5,385.95,391.01,391.01,213540000
#########,391.01,393.29,390.14,392.8,392.8,225380000
#########,392.79,393.81,390.32,391.92,391.92,206030000
#########,391.92,392.8,391.77,392.5,392.5,204090000
